,1,NaN,NaN,Norway,NaN,Full democracy,10.00,9.64,10.00,10.00,9.41,9.81,NaN, 0.06
1,2,NaN,NaN,Iceland,NaN,Full democracy,10.00,8.57,8.89,10.00,9.41,9.37,NaN, 0.21
2,3,NaN,NaN,Sweden,NaN,Full democracy,9.58,9.29,8.33,10.00,9.12,9.26,NaN, 0.13
3,4,NaN,NaN,New Zealand,NaN,Full democracy,10.00,8.93,8.89,8.75,9.71,9.25,NaN, 0.01
4,7,NaN,NaN,Denmark,NaN,Full democracy,10.00,8.93,8.33,9.38,9.12,9.15,NaN, 0.07
5,9,NaN,NaN,Australia,NaN,Full democracy,10.00,8.57,7.78,8.75,9.71,8.96,NaN, 0.13
6,15,NaN,NaN,Uruguay,NaN,Full democracy,10.00,8.57,6.67,8.13,9.71,8.61,NaN, 0.23
7,23,NaN,NaN,South Korea,NaN,Full democracy,9.17,8.21,7.22,7.50,7.94,8.01,NaN, 0.01
8,24,NaN, 4,France,NaN,Flawed democracy,9.58,7.50,7.78,6.88,8.24,7.99,NaN, 0.13
9,25,NaN,NaN,United States,NaN,Flawed democracy,9.17,6.79,8.89,6.25,8.53,7.92,NaN, 0.04
10,26,NaN, 4,Portugal,NaN,Flawed democracy,9.58,7.50,6.11,7.50,8.82,7.90,NaN, 0.13
11,27,NaN, 1,Israel,NaN,Flawed democracy,9.17,7.50,9.44,7.50,5.59,7.84,NaN, 0.02
12,29,NaN, 6,Italy,NaN,Flawed democracy,9.58,6.43,7.22,7.50,7.94,7.74,NaN, 0.22
13,30,NaN, 4,Malta,NaN,Flawed democracy,9.17,6.79,6.11,8.13,8.24,7.68,NaN, 0.27
14,31,NaN, 1,Czech Republic,NaN,Flawed democracy,9.58,6.07,6.67,7.50,8.53,7.67,NaN, 0.02
15,32,NaN, 2,Cape Verde,NaN,Flawed democracy,9.17,7.00,6.67,6.88,8.53,7.65,NaN, 0.13
16,33,NaN, 4,Botswana,NaN,Flawed democracy,9.17,6.79,6.11,7.50,8.53,7.62,NaN, 0.19
17,36,NaN, 3,Belgium,NaN,Flawed democracy,9.58,7.86,5.00,6.88,8.24,7.51,NaN, 0.13
18,38,NaN,NaN,Latvia,NaN,Flawed democracy,9.58,6.07,6.67,5.63,8.24,7.24,NaN, 0.25
