,Rank,Country,GNI per capita (US$),Year
1,1,Liechtenstein,116430,2009
2,—,Bermuda (UK),106140,2013
3,2,Switzerland,85500,2019
4,3,Norway,82500,2019
5,—,Macau (China),78640,2018
6,—,Isle of Man (UK),75340,2017
7,4,Luxembourg,73910,2019
8,5,Iceland,72850,2019
9,—,  Channel Islands (UK),66230,2007
10,6,United States,65760,2019
11,7,Qatar,63410,2019
12,8,Denmark,63240,2019
13,9,Ireland,62210,2019
14,10,Singapore,59590,2019
15,11,Sweden,55840,2019
16,12,Australia,54910,2019
17,13,Netherlands,53200,2019
18,14,Austria,51300,2019
19,—,Hong Kong (China),50840,2019
20,15,Finland,49580,2019
21,16,Germany,48520,2019
22,17,Belgium,47350,2019
23,—,Cayman Islands (UK),47140,2017
24,18,Canada,46370,2019
25,19,United Arab Emirates,43470,2019
26,20,Israel,43290,2019
27,21,New Zealand,42670,2019
28,22,France,42400,2019
29,23,United Kingdom,42370,2019
30,24,Japan,41690,2019
31,—,Greenland (Denmark),34800,2007
32,25,Italy,34460,2019
33,26,Kuwait,34290,2018
34,27,South Korea,33720,2019
35,28,Brunei,32230,2019
